year,date,lat,lon,t
2016,188.138402778,43.62582,-116.23497,2016-07-06T03:19:18.000000Z
2016,188.138414352,43.62581,-116.23497,2016-07-06T03:19:19.000000Z
2016,188.138425926,43.62582,-116.23498,2016-07-06T03:19:20.000000Z
2016,188.1384375,43.62582,-116.23498,2016-07-06T03:19:21.000000Z
2016,188.138449074,43.62582,-116.23498,2016-07-06T03:19:22.000000Z
2016,188.138460648,43.62582,-116.23498,2016-07-06T03:19:23.000000Z
2016,188.138472222,43.62582,-116.23498,2016-07-06T03:19:24.000000Z
2016,188.138483796,43.62582,-116.23498,2016-07-06T03:19:25.000000Z
2016,188.13849537,43.62582,-116.23498,2016-07-06T03:19:26.000000Z
2016,188.138506944,43.62582,-116.23497,2016-07-06T03:19:27.000000Z
2016,188.138518519,43.62582,-116.23497,2016-07-06T03:19:28.000000Z
2016,188.138530093,43.62582,-116.23497,2016-07-06T03:19:29.000000Z
2016,188.138541667,43.62582,-116.23497,2016-07-06T03:19:30.000000Z
2016,188.138553241,43.62582,-116.23498,2016-07-06T03:19:31.000000Z
2016,188.138564815,43.62582,-116.23498,2016-07-06T03:19:32.000000Z
2016,188.138576389,43.62582,-116.23498,2016-07-06T03:19:33.000000Z
2016,188.138587963,43.62583,-116.23498,2016-07-06T03:19:34.000000Z
2016,188.138599537,43.62582,-116.23497,2016-07-06T03:19:35.000000Z
2016,188.138611111,43.62582,-116.23498,2016-07-06T03:19:36.000000Z
2016,188.138622685,43.62582,-116.23498,2016-07-06T03:19:37.000000Z
2016,188.149085648,43.62583,-116.23508,2016-07-06T03:34:41.000000Z
2016,188.149097222,43.62585,-116.23509,2016-07-06T03:34:42.000000Z
2016,188.149108796,43.62585,-116.23509,2016-07-06T03:34:43.000000Z
2016,188.14912037,43.62585,-116.23509,2016-07-06T03:34:44.000000Z
2016,188.149131944,43.62585,-116.23509,2016-07-06T03:34:45.000000Z
2016,188.149143519,43.62586,-116.23509,2016-07-06T03:34:46.000000Z
2016,188.149155093,43.62586,-116.23509,2016-07-06T03:34:47.000000Z
2016,188.149166667,43.62586,-116.2351,2016-07-06T03:34:48.000000Z
2016,188.149178241,43.62587,-116.23511,2016-07-06T03:34:49.000000Z
2016,188.149189815,43.62587,-116.23511,2016-07-06T03:34:50.000000Z
2016,188.149201389,43.62588,-116.23512,2016-07-06T03:34:51.000000Z
2016,188.149212963,43.62588,-116.23512,2016-07-06T03:34:52.000000Z
2016,188.149224537,43.62588,-116.23512,2016-07-06T03:34:53.000000Z
2016,188.149236111,43.62588,-116.23512,2016-07-06T03:34:54.000000Z
2016,188.149247685,43.62588,-116.23512,2016-07-06T03:34:55.000000Z
2016,188.149259259,43.62588,-116.23512,2016-07-06T03:34:56.000000Z
2016,188.149270833,43.62588,-116.23512,2016-07-06T03:34:57.000000Z
2016,188.149282407,43.62588,-116.23512,2016-07-06T03:34:58.000000Z
2016,188.149293981,43.62588,-116.23512,2016-07-06T03:34:59.000000Z
2016,188.159502315,43.62597,-116.23519,2016-07-06T03:49:41.000000Z
2016,188.159513889,43.62598,-116.23519,2016-07-06T03:49:42.000000Z
2016,188.159525463,43.62599,-116.23519,2016-07-06T03:49:43.000000Z
2016,188.159537037,43.62599,-116.23519,2016-07-06T03:49:44.000000Z
2016,188.159548611,43.626,-116.23521,2016-07-06T03:49:45.000000Z
2016,188.159560185,43.62601,-116.23521,2016-07-06T03:49:46.000000Z
2016,188.159571759,43.626,-116.23521,2016-07-06T03:49:47.000000Z
2016,188.159583333,43.62601,-116.23521,2016-07-06T03:49:48.000000Z
2016,188.159594907,43.62601,-116.23522,2016-07-06T03:49:49.000000Z
2016,188.159606481,43.62601,-116.23522,2016-07-06T03:49:50.000000Z
2016,188.159618056,43.62601,-116.23522,2016-07-06T03:49:51.000000Z
2016,188.15962963,43.62602,-116.23522,2016-07-06T03:49:52.000000Z
2016,188.159641204,43.62602,-116.23522,2016-07-06T03:49:53.000000Z
2016,188.159652778,43.62602,-116.23522,2016-07-06T03:49:54.000000Z
2016,188.159664352,43.62602,-116.23522,2016-07-06T03:49:55.000000Z
