millis,batt,temp,A2,A3,maxWriteTime,minFifoFree,maxFifoUsed,maxOverruns,gpsOnFlag,unusedStack1,unusedStackIdle,index,t
31377.0,4.1,23.9,7.0,73.0,2.0,0.0,0.0,40.0,61.0,,,515.0,1467775162.95
41377.0,4.11,23.9,20.0,73.0,2.0,0.0,1.0,40.0,61.0,,,1546.0,1467775172.95
51378.0,4.13,23.5,19.0,72.0,3.0,0.0,0.0,40.0,61.0,,,2562.0,1467775182.95
61378.0,4.15,23.9,20.0,73.0,2.0,0.0,0.0,40.0,61.0,,,3563.0,1467775192.95
71376.0,4.13,23.9,19.0,73.0,2.0,0.0,0.0,40.0,61.0,,,4564.0,1467775202.95
81377.0,4.15,24.2,19.0,73.0,2.0,0.0,0.0,40.0,61.0,,,5565.0,1467775212.95
91377.0,4.15,23.9,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,6566.0,1467775222.95
101378.0,4.11,23.5,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,7567.0,1467775232.95
111378.0,4.13,23.9,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,8568.0,1467775242.95
121376.0,4.13,24.2,16.0,73.0,2.0,0.0,0.0,38.0,61.0,,,9569.0,1467775252.95
131377.0,4.15,23.5,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,10570.0,1467775262.95
141377.0,4.11,23.9,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,11571.0,1467775272.95
151377.0,4.15,23.5,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,12572.0,1467775282.95
161378.0,4.13,23.9,23.0,72.0,3.0,0.0,0.0,38.0,61.0,,,13573.0,1467775292.95
171378.0,4.13,23.5,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,14574.0,1467775302.95
181377.0,4.13,23.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,15575.0,1467775312.95
191377.0,4.15,23.9,23.0,72.0,3.0,0.0,0.0,38.0,61.0,,,16576.0,1467775322.95
201377.0,4.15,23.9,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,17577.0,1467775332.95
211378.0,4.15,23.5,21.0,73.0,2.0,0.0,0.0,38.0,61.0,,,18578.0,1467775342.95
221378.0,4.13,23.5,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,19579.0,1467775352.95
231376.0,4.15,23.5,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,20580.0,1467775362.95
241377.0,4.15,23.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,21581.0,1467775372.95
251379.0,4.15,24.2,20.0,73.0,2.0,0.0,0.0,38.0,61.0,,,22582.0,1467775382.95
261378.0,4.13,24.2,23.0,72.0,3.0,0.0,0.0,38.0,61.0,,,23583.0,1467775392.95
271378.0,4.15,23.9,21.0,73.0,2.0,0.0,0.0,38.0,61.0,,,24584.0,1467775402.95
281376.0,4.15,23.9,16.0,73.0,2.0,0.0,0.0,38.0,61.0,,,25585.0,1467775412.95
291377.0,4.15,23.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,26586.0,1467775422.95
301377.0,4.11,23.9,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,27587.0,1467775432.95
311377.0,4.11,23.5,20.0,73.0,2.0,0.0,0.0,38.0,61.0,,,28588.0,1467775442.95
321378.0,4.15,23.9,21.0,73.0,2.0,0.0,0.0,38.0,61.0,,,29589.0,1467775452.96
331378.0,4.15,24.2,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,30590.0,1467775462.96
341377.0,4.15,23.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,31591.0,1467775472.96
351377.0,4.13,23.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,32592.0,1467775482.96
361377.0,4.15,23.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,33593.0,1467775492.96
371378.0,4.11,23.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,34594.0,1467775502.96
381378.0,4.11,23.9,20.0,73.0,2.0,0.0,0.0,38.0,61.0,,,35595.0,1467775512.96
391376.0,4.15,23.9,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,36596.0,1467775522.96
401377.0,4.13,23.2,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,37597.0,1467775532.96
411377.0,4.13,23.9,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,38598.0,1467775542.96
421378.0,4.11,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,39599.0,1467775552.96
431378.0,4.13,23.9,22.0,72.0,3.0,0.0,0.0,38.0,61.0,,,40600.0,1467775562.96
441376.0,4.15,23.5,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,41601.0,1467775572.96
451377.0,4.13,23.5,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,42602.0,1467775582.96
461377.0,4.13,23.5,22.0,72.0,3.0,0.0,0.0,38.0,61.0,,,43603.0,1467775592.96
471377.0,4.13,23.5,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,44604.0,1467775602.96
481378.0,4.15,23.5,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,45605.0,1467775612.96
491378.0,4.15,23.5,20.0,73.0,2.0,0.0,0.0,38.0,61.0,,,46606.0,1467775622.96
501377.0,4.15,23.5,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,47607.0,1467775632.96
511377.0,4.15,23.5,21.0,73.0,2.0,0.0,0.0,38.0,61.0,,,48608.0,1467775642.96
521377.0,4.11,23.5,20.0,73.0,2.0,0.0,0.0,38.0,61.0,,,49609.0,1467775652.96
531378.0,4.15,23.5,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,50610.0,1467775662.96
541378.0,4.13,23.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,51611.0,1467775672.96
551376.0,4.13,23.5,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,52612.0,1467775682.96
561377.0,4.11,23.5,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,53613.0,1467775692.96
571377.0,4.15,23.5,20.0,73.0,2.0,0.0,0.0,38.0,61.0,,,54614.0,1467775702.96
581378.0,4.13,23.5,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,55615.0,1467775712.96
591378.0,4.13,23.5,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,56616.0,1467775722.96
601376.0,4.15,23.5,119.0,62.0,13.0,0.0,0.0,38.0,61.0,,,57617.0,1467775732.96
611377.0,4.13,23.2,21.0,73.0,2.0,0.0,0.0,38.0,61.0,,,58618.0,1467775742.96
621377.0,4.15,23.5,20.0,73.0,2.0,0.0,0.0,38.0,61.0,,,59619.0,1467775752.96
631377.0,4.15,23.5,25.0,72.0,3.0,0.0,0.0,38.0,61.0,,,60620.0,1467775762.96
641378.0,4.13,23.2,21.0,73.0,2.0,0.0,0.0,38.0,61.0,,,61621.0,1467775772.96
651378.0,4.15,23.2,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,62622.0,1467775782.96
661377.0,4.13,23.2,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,63623.0,1467775792.96
671377.0,4.13,23.2,21.0,72.0,3.0,0.0,0.0,38.0,61.0,,,64624.0,1467775802.96
681377.0,4.15,23.2,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,65625.0,1467775812.96
691380.0,4.15,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,66626.0,1467775822.97
701378.0,4.11,23.2,22.0,72.0,3.0,0.0,0.0,38.0,61.0,,,67627.0,1467775832.97
711376.0,4.15,23.2,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,68628.0,1467775842.96
721377.0,4.15,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,69629.0,1467775852.97
731377.0,4.11,23.5,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,70630.0,1467775862.97
741378.0,4.15,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,71631.0,1467775872.97
751378.0,4.15,23.2,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,72632.0,1467775882.97
761376.0,4.15,23.2,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,73633.0,1467775892.97
771377.0,4.15,22.9,20.0,73.0,2.0,0.0,0.0,38.0,61.0,,,74634.0,1467775902.97
781377.0,4.15,23.2,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,75635.0,1467775912.97
791377.0,4.11,22.9,20.0,73.0,2.0,0.0,0.0,38.0,61.0,,,76636.0,1467775922.97
801378.0,4.13,23.2,21.0,73.0,2.0,0.0,0.0,38.0,61.0,,,77637.0,1467775932.97
811378.0,4.15,23.5,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,78638.0,1467775942.97
821377.0,4.15,23.2,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,79639.0,1467775952.97
831377.0,4.11,22.9,20.0,73.0,2.0,0.0,0.0,38.0,61.0,,,80640.0,1467775962.97
841377.0,4.15,22.9,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,81641.0,1467775972.97
851378.0,4.13,23.5,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,82642.0,1467775982.97
861378.0,4.15,23.5,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,83643.0,1467775992.97
871376.0,4.13,23.2,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,84644.0,1467776002.97
881377.0,4.15,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,85645.0,1467776012.97
891377.0,4.11,23.5,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,86646.0,1467776022.97
901378.0,4.11,23.2,25.0,72.0,3.0,0.0,0.0,38.0,61.0,,,87647.0,1467776032.97
911378.0,4.15,22.9,20.0,73.0,2.0,0.0,0.0,38.0,61.0,,,88648.0,1467776042.97
921376.0,4.11,22.9,20.0,73.0,2.0,0.0,0.0,38.0,61.0,,,89649.0,1467776052.97
931377.0,4.15,22.9,23.0,72.0,3.0,0.0,0.0,38.0,61.0,,,90650.0,1467776062.97
941377.0,4.08,23.2,18.0,73.0,2.0,0.0,1.0,38.0,61.0,,,91651.0,1467776072.97
951377.0,4.13,22.9,18.0,73.0,2.0,0.0,1.0,38.0,61.0,,,92673.0,1467776082.97
961378.0,4.1,22.9,19.0,73.0,2.0,0.0,1.0,38.0,61.0,,,93704.0,1467776092.97
971378.0,4.13,22.9,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,94726.0,1467776102.97
981377.0,4.11,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,95727.0,1467776112.97
991377.0,4.11,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,96728.0,1467776122.97
1001377.0,4.15,23.2,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,97729.0,1467776132.97
1011378.0,4.13,22.9,21.0,73.0,2.0,0.0,0.0,38.0,61.0,,,98730.0,1467776142.97
1021378.0,4.13,22.9,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,99731.0,1467776152.97
1031376.0,4.13,23.2,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,100732.0,1467776162.97
1041377.0,4.13,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,101733.0,1467776172.97
1051377.0,4.13,23.2,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,102734.0,1467776182.97
1061378.0,4.13,23.2,20.0,72.0,3.0,0.0,0.0,38.0,61.0,,,103735.0,1467776192.98
1071378.0,4.13,22.9,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,104736.0,1467776202.98
1081376.0,4.13,22.9,31.0,71.0,4.0,0.0,0.0,38.0,61.0,,,105737.0,1467776212.97
1091377.0,4.11,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,106738.0,1467776222.98
1101377.0,4.15,23.2,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,107739.0,1467776232.98
1111377.0,4.13,22.9,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,108740.0,1467776242.98
1121378.0,4.11,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,109741.0,1467776252.98
1131378.0,4.15,23.2,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,110742.0,1467776262.98
1141377.0,4.13,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,111743.0,1467776272.98
1151377.0,4.15,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,112744.0,1467776282.98
1161377.0,4.11,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,113745.0,1467776292.98
1171378.0,4.15,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,114746.0,1467776302.98
1181378.0,4.13,23.2,20.0,73.0,2.0,0.0,0.0,38.0,61.0,,,115747.0,1467776312.98
1191380.0,4.13,22.9,22.0,73.0,2.0,0.0,0.0,38.0,61.0,,,116748.0,1467776322.98
1201377.0,4.15,22.9,23.0,72.0,3.0,0.0,0.0,38.0,61.0,,,117749.0,1467776332.98
1211377.0,4.13,22.9,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,118750.0,1467776342.98
1221378.0,4.13,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,119751.0,1467776352.98
1231378.0,4.13,22.9,22.0,72.0,3.0,0.0,0.0,38.0,61.0,,,120752.0,1467776362.98
1241376.0,4.11,22.9,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,121753.0,1467776372.98
1251377.0,4.15,22.9,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,122754.0,1467776382.98
1261377.0,4.15,22.9,20.0,73.0,2.0,0.0,0.0,38.0,61.0,,,123755.0,1467776392.98
1271377.0,4.15,22.9,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,124756.0,1467776402.98
1281378.0,4.15,22.9,21.0,73.0,2.0,0.0,0.0,38.0,61.0,,,125757.0,1467776412.98
1291378.0,4.11,22.6,18.0,73.0,2.0,0.0,0.0,38.0,61.0,,,126758.0,1467776422.98
1301377.0,4.13,22.6,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,127759.0,1467776432.98
1311377.0,4.13,22.6,19.0,73.0,2.0,0.0,0.0,38.0,61.0,,,128760.0,1467776442.98
