millis,batt,temp,A2,A3,maxWriteTime,minFifoFree,maxFifoUsed,maxOverruns,gpsOnFlag,unusedStack1,unusedStackIdle,index,t
3946.0,3.76,9.1,0.597,0.391,195.0,56.0,19.0,0.0,0.0,56.0,51.0,50.0,1603205848.04
4945.0,3.76,9.1,0.597,0.388,14.0,74.0,1.0,0.0,0.0,56.0,51.0,151.0,1603205849.04
5945.0,3.76,9.1,0.597,0.388,13.0,74.0,1.0,0.0,0.0,56.0,51.0,252.0,1603205850.04
6946.0,3.76,9.1,0.597,0.391,14.0,74.0,1.0,0.0,0.0,56.0,51.0,353.0,1603205851.04
7946.0,3.76,9.1,0.597,0.391,15.0,74.0,1.0,0.0,0.0,56.0,51.0,454.0,1603205852.04
8945.0,3.76,9.1,0.597,0.391,14.0,74.0,1.0,0.0,0.0,56.0,51.0,555.0,1603205853.04
9947.0,3.76,9.1,0.597,0.391,17.0,74.0,1.0,0.0,0.0,56.0,51.0,656.0,1603205854.04
10946.0,3.76,9.1,0.594,0.388,14.0,74.0,1.0,0.0,0.0,56.0,51.0,757.0,1603205855.04
11945.0,3.76,9.1,0.594,0.391,14.0,74.0,1.0,0.0,0.0,56.0,51.0,858.0,1603205856.04
12945.0,3.76,9.1,0.594,0.388,13.0,74.0,1.0,0.0,0.0,56.0,51.0,959.0,1603205857.04
13946.0,3.68,9.1,0.597,0.391,14.0,74.0,1.0,0.0,1.0,56.0,51.0,1060.0,1603205858.04
14946.0,3.68,9.1,0.594,0.391,15.0,74.0,1.0,0.0,1.0,56.0,51.0,1161.0,1603205859.04
15945.0,3.66,9.4,0.594,0.388,14.0,74.0,1.0,0.0,1.0,56.0,51.0,1262.0,1603205860.04
16945.0,3.68,9.1,0.594,0.388,15.0,74.0,1.0,0.0,1.0,56.0,51.0,1363.0,1603205861.04
17946.0,3.66,9.1,0.597,0.388,14.0,74.0,1.0,0.0,1.0,56.0,51.0,1464.0,1603205862.04
18946.0,3.66,9.1,0.594,0.385,14.0,74.0,1.0,0.0,1.0,56.0,51.0,1565.0,1603205863.04
19945.0,3.66,9.1,0.594,0.394,22.0,73.0,2.0,0.0,1.0,56.0,51.0,1666.0,1603205864.04
20946.0,3.66,9.1,0.597,0.391,14.0,74.0,1.0,0.0,1.0,56.0,51.0,1767.0,1603205865.04
21946.0,3.66,9.1,0.594,0.394,15.0,74.0,1.0,0.0,1.0,56.0,51.0,1868.0,1603205866.04
